SCENT_MIN, BETA, ALPHA, EVAP_COEFF, num_ants, iterations, min_dist, elapsed_time
0.2,1,1,0.4,10,20,66502.43233185544,3.1083240509033203
0.2,1,1,0.4,20,20,63473.218089747636,6.1272876262664795
0.2,1,1,0.4,30,20,61771.47533094136,9.452232837677002
0.2,1,1,0.4,40,20,60799.15290557503,12.206066370010376
0.2,1,1,0.4,50,20,60739.25451953587,15.487911701202393
0.2,1,1,0.4,60,20,59046.951529202735,18.46327018737793
0.2,1,1,0.4,70,20,58444.72868974213,21.75908064842224
0.2,1,1,0.4,80,20,59210.142678518976,24.82556128501892
0.2,2,1,0.4,10,20,57815.41514904777,3.1897103786468506
0.2,2,1,0.4,20,20,55598.69628347976,6.2295331954956055
0.2,2,1,0.4,30,20,55564.561662280874,9.421401262283325
0.2,2,1,0.4,40,20,53986.68332416248,12.354363679885864
0.2,2,1,0.4,50,20,54965.485932890384,15.441561698913574
0.2,2,1,0.4,60,20,55289.17785106724,18.869281768798828
0.2,2,1,0.4,70,20,54308.80418728582,22.03042960166931
0.2,2,1,0.4,80,20,53878.509473636324,24.78470277786255
0.2,3,1,0.4,10,20,54437.739716605305,3.2651171684265137
0.2,3,1,0.4,20,20,52909.88428738858,6.360895156860352
0.2,3,1,0.4,30,20,50268.934334733756,9.606658697128296
0.2,3,1,0.4,40,20,50975.163962363236,12.524985551834106
0.2,3,1,0.4,50,20,51765.482475114746,15.590550422668457
0.2,3,1,0.4,60,20,50440.83118514482,19.509666681289673
0.2,3,1,0.4,70,20,51478.773302107555,21.733388423919678
0.2,3,1,0.4,80,20,50389.24602816589,25.177770614624023
0.2,3,1,0.5,10,20,52870.244917849726,3.282294750213623
0.2,3,1,0.5,20,20,53673.628909045445,6.307626008987427
0.2,3,1,0.5,30,20,52490.1676794152,9.401720762252808
0.2,3,1,0.5,50,20,51079.24153331888,15.612532615661621
0.2,3,1,0.5,80,20,50723.533959081426,25.062553644180298
0.2,3,1,0.6,10,20,53417.56512827633,3.1953461170196533
0.2,3,1,0.6,30,20,50909.43146910658,9.391795635223389
0.2,3,1,0.6,50,20,52084.35204436137,15.687495708465576
0.2,3,1,0.6,80,20,50630.34706116579,24.896515369415283
